ClientId,EGT FreeSpin,FreeSpin SayYo,FreeSpin_0 Playtech,FreeSpin_0 Popok,FreeSpin_0 TopGame,FreeSpin,CasinoWageringCost,LoyaltyCost,HarmonyFreespin,CasinoCashback,CasinoCorrection,CasinoNGR,CasinoGGR
1970751,2.9448011,0.0,0.0,7.824034060000001,0.11718849999999999,1.1890022,0.0,0.0,0.0,0.0,143.700209623,-381.188067184,6.225268299
1974027,0.0944296,0.0,0.0,0.7422689,0.5996279600000001,0.0944296,0.0,0.0,0.0,0.0,45.032912171999996,-54.31020929199998,-7.746541059999984
1974107,2.1810505,0.0,0.0,6.33854047,0.0,2.7811452,0.0,0.0,0.0,0.0,14.409086510000002,-24.865282100299996,3.130390579700006
1977639,0.9303849,0.0,0.0,94.00736434,0.0,0.185472,42.878519999999995,0.0,0.0,583.4627145000001,242.23627520000002,2620.4395266491997,4379.062313989201
1978924,10.2607096,0.0,0.0,9.95242345,0.62079744,4.897085,0.0,0.0,0.0,0.0,0.0,-14.429167250000006,18.354051469999995
1985724,0.4083066000000001,0.0,0.0,1.5917392000000001,0.0,1.0856004000000001,0.0,0.0,0.0,272.868551754452,0.0,-273.545811254452,2.4083867000000003
1987538,5.219736800000001,0.0,0.0,6.17518688,0.0,2.0272701,0.0,0.0,0.0,0.0,0.22858499999999998,19.570168169999988,37.86070694999998
1987940,5.8131881,0.0,0.0,6.11629004,2.14025652,4.5770209,11.001168,0.0,0.0,19.782454649,41.135756842000006,124.78130760399998,217.67712265499998
1988902,3.9396958,0.0,0.0,1.9449618499999999,0.0,0.46515599999999996,0.0,0.0,0.0,0.0,2.645394371,-5.129215621,6.305932400000002
1989201,1.07015445,0.0,0.0,10.38162209,0.0,0.2831148,0.35488800000000004,0.0,0.0,0.0,0.0,3.857556790000003,18.412977479999995
1997750,4.1760329,0.0,0.0,8.59872806,0.0,1.1053048,22.4268,0.0,0.0,0.0,109.39159047000003,-320.67024383,-174.97178759999997
1997952,2.1710930999999998,0.0,0.0,3.24818098,0.39617994,2.5985427,0.0,0.0,0.0,0.0,0.883727465,-0.005824084999999535,9.2919001
1999666,1.4229745,0.0,0.0,1.9469574600000001,0.0,0.2131641,0.0,0.0,0.0,0.0,5.278129015999999,-17.722364995999975,-6.49264991999998
1999779,0.0,0.0,0.0,0.1402734,0.0,0.0,0.0,0.0,0.0,0.0,100.37149105399999,-44.52385695400002,55.987907499999984
2000385,2.6830238,0.0,0.0,12.09152056,0.57354855,1.5629998,0.0,0.0,0.0,0.0,0.4874632,0.7852795700000158,18.183835480000013
2005680,0.183608,0.0,0.0,1.25666274,0.0,1.468864,0.0,0.0,0.0,252.147924713326,0.0,-232.19499245332602,25.157167
