ClientId,CasinoWageringCost_EUR_total,FreespinCost_EUR_total,HarmonyFreespin_EUR_total,CasinoCashback_EUR_total,CasinoCorrection_EUR_total,LuckyWheelCost_EUR_total,LoyaltyCost_EUR_total,CasinoGGR_EUR_no_jpot_total,CasinoNGR_EUR_no_jpot_total
44926,22.8808,4.969815400000001,0.0,0.0,0.0,0.0,0.0,1.2793036552000006,-26.5713117448
1725330,0.0,2.05243086,0.0,0.0,0.233491,0.0,0.0,-95.2813744,-97.56729626
1726579,8.288712,26.441789770000007,0.0,0.0,0.226976,2.43994,0.0,36.03435969,-1.363058080000001
1732775,0.0,15.08057355,0.0,0.0,0.0,0.0,0.0,0.0,-15.08057355
1744786,0.0,5.59486171,0.0,0.0,0.0,0.0,0.0,-0.02608811999999977,-5.62094983
1821583,24.3327,22.393734430000002,0.0,0.0,0.0,0.0,0.0,30.690603632399984,-16.03583079760002
1828503,0.0,0.3054965,0.0,0.0,128.76211458,0.0,0.0,13.154143400000002,-115.91346768000001
1832131,0.0,26.552000170000007,0.0,21.455336957,3626.6827157890007,30.18374,0.0,76.11064905000013,-3628.763143865999
1843699,0.0,27.94996906,0.0,0.0,0.225112,2.24546,0.0,23.629299620000005,-6.79124143999999
1847184,3.3815399999999998,5.7360868400000005,0.0,9.5109411144,100.20058706200001,0.0,0.0,137.90453509000002,19.07538007360003
1852740,19.0412842,65.77866727,0.0,0.0,0.0,11.3951,0.0,150.5944680076,54.37941653760002
1853762,0.0,23.90963388,0.0,11.271989026575,24.821708705,4.67684,0.0,196.05976034200003,131.37958873042504
1905697,0.0,12.21078514,0.0,6.1642037865,211.02175686,74.97153999999999,0.0,300.29553631790003,-4.072749468600012
1906670,15.4032816,51.89042716,0.0,1.3919872164,0.0,2.26411,0.0,22.244775810000014,-48.70503016640001
1911261,0.0,1.6452894,0.0,0.0,95.968880633,0.0,0.0,14.178119999999996,-83.43605003300001
1912611,0.0,23.29037902,0.0,0.0,0.0,4.72461,0.0,0.0,-28.01498902
1912674,0.0,13.8909658,0.0,0.0,0.0,0.0,0.0,3.361928300000002,-10.529037499999998
1915568,0.0,23.68364781,0.0,0.0,0.0,0.0,0.0,9.25020521,-14.4334426
1917064,4.3372875,5.04623417,0.0,0.0,0.0,0.0,0.0,41.56550047499999,32.181978805
1917468,20.647176,55.13120099000001,0.0,3.0854359380000003,0.0,2.36302,0.0,-67.645880195,-148.872713123
1918601,0.0,6.5663167300000005,0.0,0.0,4.453455753,4.58474,0.0,21.0862183,5.4817058169999955
1919480,0.0,2.42876876,0.0,0.0,0.0,0.0,0.0,4.38295895,1.9541901899999996
1923568,0.0,1.3950087,0.0,0.0,434.078838851,0.0,0.0,3.1232868,-432.350560751
1924188,3.6599099999999996,17.07888216,0.0,0.0,2.09035702,0.0,0.0,1.078728,-21.75042118
1924454,0.0,6.871960179999999,0.0,0.0,0.0,0.0,0.0,-24.809317290000067,-31.681277470000065
1926038,0.0,9.69043832,0.0,0.0,49.173247192999995,0.0,0.0,52.57195041999998,-6.291735093000028
1926474,0.0,19.11095718,0.0,0.0,0.510647866,0.0,0.0,34.08066755,14.459062503999998
1927703,0.0,0.0,0.0,0.0,2618.083069003,68.35749999999999,0.0,0.0,-2686.440569003
1927921,16.549696,32.143196950000004,0.0,5.8378340807999995,9.977328171999998,2.42066,0.0,48.864348800000016,-18.064366402800005
1932776,11.5238893,24.240811320000002,0.0,0.0,0.0,0.0,0.0,18.883730230000005,-16.88097039
1934949,1.037223,27.743914250000003,0.0,1.4961906960000002,68.828426078,0.0,0.0,50.441309419999996,-48.66444460400002
1945308,9.15372,10.01013579,0.0,0.0,0.23056100000000002,0.0,0.0,-11.794957400000008,-31.18937419000001
1956766,0.0,3.2319441,0.0,0.0,0.234299,0.0,0.0,3.2646603000000023,-0.20158279999999804
1961728,0.0,31.14920298,0.0,2.7826593898840004,15.868644370000002,2.22425,0.0,-27.852528417200002,-79.87728515708397
1967983,0.0,4.1357884,0.0,0.0,4.805243783000001,0.0,0.0,0.0,-8.941032182999999
1970445,0.0,4.74252225,0.0,1.18498302,38.91878486000001,0.0,0.0,25.166406040000016,-19.67988408999998
1970751,0.0,12.07502586,0.0,0.0,143.700209623,231.6381,0.0,6.225268299,-381.188067184
1974027,0.0,1.53075606,0.0,0.0,45.032912171999996,0.0,0.0,-7.746541059999984,-54.31020929199998
1974107,0.0,11.30073617,0.0,0.0,14.409086510000002,2.28585,0.0,3.130390579700006,-24.865282100299996
1977639,42.878519999999995,642.83243764,0.0,583.4627145000001,242.23627520000002,156.88067999999998,0.0,4379.062313989201,2620.4395266491997
1978924,0.0,25.87277872,0.0,0.0,0.0,6.91044,0.0,18.354051469999995,-14.429167250000006
1985724,0.0,3.0856462000000002,0.0,272.868551754452,0.0,0.0,0.0,2.4083867000000003,-273.545811254452
1987538,0.0,13.42219378,0.0,0.0,0.22858499999999998,4.639760000000001,0.0,37.86070694999998,19.570168169999988
1987940,11.001168,18.646755559999995,0.0,19.782454649,41.135756842000006,2.32968,0.0,217.67712265499998,124.78130760399998
1988902,0.0,6.34981365,0.0,0.0,2.645394371,2.43994,0.0,6.305932400000002,-5.129215621
1989201,0.35488800000000004,14.20053269,0.0,0.0,0.0,0.0,0.0,18.412977479999995,3.857556790000003
1997750,22.4268,13.88006576,0.0,0.0,109.39159047000003,0.0,0.0,-174.97178759999997,-320.67024383
1997952,0.0,8.41399672,0.0,0.0,0.883727465,0.0,0.0,9.2919001,-0.005824084999999535
